"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\.eslintrc.js", "JavaScript", 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\README.md", "Markdown", 0, 0, 0, 0, 51, 2, 21, 74
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\nest-cli.json", "JSON", 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\ormconfig.ts", "TypeScript", 10, 0, 0, 0, 0, 5, 3, 18
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\package-lock.json", "JSON", 0, 0, 9993, 0, 0, 0, 1, 9994
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\package.json", "JSON", 0, 0, 79, 0, 0, 6, 0, 85
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\app.controller.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\app.controller.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\app.module.ts", "TypeScript", 41, 0, 0, 0, 0, 5, 2, 48
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\app.service.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\auth\auth.controller.spec.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\auth\auth.controller.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\auth\auth.module.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 2, 28
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\auth\auth.service.spec.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\auth\auth.service.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 8, 37
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\auth\dto\signin-user.dto.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\auth\interfaces\jwt-payload.interface.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\customer\customer.controller.spec.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\customer\customer.controller.ts", "TypeScript", 41, 0, 0, 0, 0, 4, 8, 53
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\customer\customer.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
